,group_name,city,country,ratings,created_date,members,last_event,next_event,category,primary_topic,membership_fees
0,The Austin Python Meetup,Austin,US,4.62,1208191517000,2654,,,tech,,0
1,Austin Coders & Hackers by The Tech^map,Austin,US,4.68,1219011353000,781,,,tech,,0
2,Austin Web Python,Austin,US,4.71,1294764094000,1208,,,tech,,0
3,Austin Learn Python Meetup,Austin,US,4.63,1352494438000,801,,,tech,,0
4,PyLadies ATX,Austin,US,4.69,1353534744000,558,,,tech,,0
5,Austin Openshift Meetup,Austin,US,5,1353954129000,63,,,tech,,0
6,Austin MongoDB User Group,Austin,US,4.46,1356710983000,605,,,tech,,0
7,OpenHack Austin,Austin,US,4.66,1372133519000,1350,,,tech,,0
8,PyFi,Austin,US,0,1376540044000,44,,,tech,,0
9,Austin Software Test Automation Group,Austin,US,4.68,1379005866000,471,,,tech,,0
10,Austin Data,Austin,US,4.87,1400542048000,1188,,,tech,,0
11,Austin Coding Academy,Austin,US,5,1403496739000,627,,,tech,,0
12,Austin Saltstack User Group,Austin,US,4.83,1403766650000,117,,,tech,,0
13,Austin Spark Meetup,Austin,US,4.64,1406652323000,377,,,tech,,0
14,Austin Text - Natural Language Processing,Austin,US,4.67,1417209443000,261,,,tech,,0
15,ATX Sports Analytics,Austin,US,5,1422290459000,235,,,tech,,0
16,ATX Django,Austin,US,0,1428071664000,50,,,tech,,0
17,Austin Data Science,Austin,US,4.33,1435097738000,534,,,tech,,0
18,Women in Data Science - ATX,Austin,US,5,1437061829000,155,,,tech,,0
19,Austin New Relic User Group,Austin,US,0,1438618606000,39,,,tech,,0
20,PyHou - Houston Python Enthusiasts!,Houston,US,4.5,1035259201000,1052,,,tech,,0
21,PyWeb Houston,Houston,US,4.74,1288892784000,409,,,tech,,0
22,Houston Open Development,Houston,US,4.69,1347033499000,432,,,tech,,0
23,Houston Recreational Computer Programming Group,Houston,US,4.33,1378046797000,446,,,tech,,0
24,Houston MongoDB User Group (MUG),Houston,US,5,1382727461000,166,,,tech,,0
25,PyLadies HTX,Houston,US,4.84,1404835383000,206,,,tech,,0
26,Houston Network Programmability User Group (NPUG),Houston,US,4.5,1435776519000,109,,,tech,,0
27,Silicon Valley MySQL Group,Palo Alto,US,4.43,1102659536000,781,,,tech,,0
28,SF Bay Area Google App Engine Developers,San Francisco,US,4.49,1209854212000,950,,,tech,,0
29,San Francisco Python Meetup Group,San Francisco,US,4.63,1213377311000,7030,,,tech,,0
