,group_name,city,country,ratings,created_date,members,last_event,next_event,category,primary_topic,membership_fees,last_event_rsvp,next_event_rsvp
0,Santa Fe Philosophical Society,Santa Fe,US,4.69,1080136965000,180,,,education/learning,,0,,
1,The Santa Fe Mommy Meetup Group,Santa Fe,US,4.76,1182791588000,187,,,parents/family,,0,,
2,The Santa Fe Psychic Development Meetup Group,Santa Fe,US,4.73,1184974272000,128,,,new age/spirituality,,0,,
3,Santa Fe Gamers,Santa Fe,US,4.77,1189407418000,422,,,games,,0,,
4,The Santa Fe Hiking Meetup Group,Santa Fe,US,4.87,1194121138000,2123,,,outdoors/adventure,,0,,
5,Homeschool Group Organizers Across the USA,Santa Fe,US,5,1207960052000,31,,,parents/family,,0,,
6,Santa Fe Software Developers,Santa Fe,US,4.53,1222985242000,390,,,tech,,0,,
7,The Santa Fe Women's Tarot Circle,Santa Fe,US,4.92,1226345721000,302,,,new age/spirituality,,0,,
8,The Santa Fe French Language Meetup Group,Santa Fe,US,4.65,1229532879000,417,,,language/ethnic identity,,0,,
9,Girlfriends of Santa Fe - A Women's Social Group!,Santa Fe,US,4.8,1229852749000,117,,,career/business,,0,,
10,Everyday Center for Spiritual Living,Santa Fe,US,4.95,1233183218000,317,,,new age/spirituality,,0,,
11,The Santa Fe Sound and Energy Healers Group,Santa Fe,US,4.5,1236698514000,72,,,health/wellbeing,,0,,
12,Santa Fe Sound and Energy Healers,Santa Fe,US,5,1236699869000,64,,,health/wellbeing,,0,,
13,Santa Fe Shamanic Healing Journeys with Luisa Kolker,Santa Fe,US,4.96,1241448652000,273,,,new age/spirituality,,0,,
14,THE SANTA FE CO-ED TAROT TRIBE,Santa Fe,US,4.93,1245623946000,378,,,new age/spirituality,,0,,
15,Santa Fe Social Club!,Santa Fe,US,4.7,1252526360000,25,,,career/business,,0,,
16,Santa Fe Area Aromatherapy Group,Santa Fe,US,4.93,1255901085000,61,,,health/wellbeing,,0,,
17,Friends First of Santa Fe,Santa Fe,US,4.64,1260753576000,659,,,singles,,0,,
18,Santa Fe Integral Satsang,Santa Fe,US,0,1263254200000,42,,,new age/spirituality,,0,,
19,This One's for the Girls - Social Group for Women 50+ years,Santa Fe,US,4.85,1264205568000,69,,,socializing,,0,,
20,Santa Fe Healing Arts,Santa Fe,US,4.97,1264308786000,233,,,health/wellbeing,,0,,
21,Santa Fe Poetry and Prose Meetup Group,Santa Fe,US,4.73,1276470751000,590,,,writing,,0,,
22,The Women Entrepreneurs Santa Fe Network,Santa Fe,US,4.91,1284590511000,33,,,career/business,,0,,
23,Santa Fe Gay Men's Discussion Group,Santa Fe,US,4.54,1286119089000,165,,,socializing,,0,,
24,Brain Illumination,Santa Fe,US,5,1286420095000,9,,,photography,,0,,
25,Santa Fe Sai Maa Diksha Training,Santa Fe,US,5,1288568954000,4,,,health/wellbeing,,0,,
26,Santa Fe Spiritual Experiences Group,Santa Fe,US,5,1290982479000,107,,,new age/spirituality,,0,,
27,The Santa Fe Tabletop Gaming Association,Santa Fe,US,5,1291820201000,117,,,games,,0,,
28,Internal Energy Walking,Santa Fe,US,4.99,1291872745000,263,,,health/wellbeing,,0,,
29,The Santa Fe Compassionate Communication Group,Santa Fe,US,4.86,1294542856000,213,,,health/wellbeing,,0,,
30,Tribe Of Singles-Santa Fe Meetup Group,Santa Fe,US,4.61,1308220997000,232,,,singles,,0,,
31,Santa Fe Women's Book Club,Santa Fe,US,4.94,1313766747000,14,,,book clubs,,0,,
32,Spirit Unlimited Santa Fe,Santa Fe,US,4.87,1314232068000,336,,,new age/spirituality,,0,,
33,Santa Fe Photography Group,Santa Fe,US,4.72,1320269969000,71,,,photography,,0,,
34,Santa Fe Veg,Santa Fe,US,4.81,1322631140000,510,,,food/drink,,0,,
35,Santa Fe Sai Maa Enlightened Living Group,Santa Fe,US,4.88,1325887522000,40,,,new age/spirituality,,0,,
36,Santa Fe Sierra Club Outings,Santa Fe,US,4.57,1328815310000,809,,,outdoors/adventure,,0,,
37,Santa Fe Macintosh User Group,Santa Fe,US,4.26,1330078334000,138,,,tech,,0,,
